restaurant_name,restaurant_type,rating,num_ratings,avg_cost,has_online_order,has_table_booking,cuisines,area,address
Melting Melodies,Bakery,2.8,40,300.0,0,0,Bakery,Banashankari,Banashankari
Melting Pot At Woodrose,Quick Bites,3.7,19,800.0,1,0,North Indian,Bannerghatta Road,Jp Nagar
Melting Spot,"Cafe, Dessert Parlor",4.0,134,600.0,0,0,"Cafe, Desserts, Beverages, Italian",Indiranagar,Indiranagar
Memories Of China - Taj Mg Road Bengaluru,Fine Dining,4.3,449,3000.0,0,1,"Chinese, Momos",Brigade Road,Mg Road
Meraki Patisserie,Bakery,3.3,6,350.0,0,0,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala",Jayanagar
Meridian South - A Pure Vegetarian Restaurant,Casual Dining,2.8,40,600.0,0,0,"North Indian, South Indian, Chinese",Electronic City,Electronic City
Mesa Deli - Svenska Design Hotel,Casual Dining,3.2,9,600.0,1,1,"North Indian, Italian",Electronic City,Electronic City
Mesa Lounge Bar - Svenska Design Hotel,Lounge,3.5,49,1500.0,0,1,"North Indian, Pizza, Asian, Italian",Electronic City,Electronic City
Messy Bowl,Quick Bites,3.5,73,500.0,0,0,"Fast Food, Beverages",Jayanagar,Banashankari
Messy Eats,"Bakery, Dessert Parlor",3.9,133,500.0,0,0,"Bakery, Desserts",Malleshwaram,New Bel Road
Messy'S,Quick Bites,3.8,108,400.0,1,0,Fast Food,Electronic City,Electronic City
Metrolicious,"Takeaway, Delivery",3.5,38,400.0,1,0,"North Indian, Chinese, Biryani",Whitefield,Whitefield
Mexican Burrito,"Takeaway, Delivery",4.0,160,450.0,0,0,"Mexican, Fast Food",New Bel Road,Sahakara Nagar
Mexican Taste,"Takeaway, Delivery",3.3,9,200.0,1,0,"Fast Food, Burger, Rolls, Salad",Malleshwaram,New Bel Road
Mezban Family Restaurant,Quick Bites,3.5,40,300.0,1,0,"Chinese, North Indian",Basavanagudi,Basavanagudi
Mg'S Fine Dining & Bar - Springs Hotel & Spa,Casual Dining,3.8,21,800.0,0,1,"North Indian, Asian, Continental",Basavanagudi,Basavanagudi
Mid Night Hunting,"Takeaway, Delivery",3.7,127,300.0,1,0,"Fast Food, Italian","Byresandra,Tavarekere,Madiwala",Ejipura
Midas Touch,Bakery,3.2,19,300.0,0,0,"Bakery, Fast Food, Desserts",Brookefield,Brookefield
Mid-Night Crunch,"Takeaway, Delivery",3.6,455,400.0,1,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Hsr
Midnight Eats,Delivery,3.0,114,500.0,1,0,"North Indian, Chinese",Brigade Road,Frazer Town
