restaurant_name,rating,avg_cost,area,primary_cuisine,cluster_name
Mdp Coffee House,3.5,200.0,Brigade Road,South Indian,Budget-Friendly
Me And My Cake,3.5,500.0,Marathahalli,Bakery,Luxury Premium
Me N U,2.8,500.0,Bannerghatta Road,Finger Food,Luxury Premium
Meal & Biryani,3.6,450.0,"Byresandra,Tavarekere,Madiwala",Andhra,Luxury Premium
Meal In A Box,3.6,300.0,Koramangala 4Th Block,Street Food,Budget-Friendly
Meal Square,3.2,600.0,Bannerghatta Road,North Indian,Luxury Premium
Mealbox Inc.,3.9,800.0,Marathahalli,North Indian,Luxury Premium
Mealer.In,3.5,450.0,Marathahalli,North Indian,Luxury Premium
Mealsbaba,3.6,400.0,Koramangala 5Th Block,North Indian,Mid-Range
Mealstree,3.6,400.0,Brookefield,North Indian,Mid-Range
Meat And Eat,2.8,500.0,Bellandur,Fast Food,Luxury Premium
Meat And Eat (Me),3.6,500.0,Old Airport Road,Fast Food,Luxury Premium
Meat Up Barbecue & More,3.7,400.0,Kalyan Nagar,Bbq,Mid-Range
Meaza Ginger Multi Cuisine Restaurant,3.6,550.0,Brigade Road,North Indian,Luxury Premium
Mecaf Family Restaurant,3.9,400.0,Basavanagudi,North Indian,Mid-Range
Meena'S Kitchen,3.5,400.0,Brookefield,Continental,Mid-Range
Meenu Oota Da Maane,3.0,700.0,Indiranagar,Seafood,Luxury Premium
Meeraa'S Beegara Oota,3.8,550.0,Hsr,South Indian,Luxury Premium
Mega Bite,3.5,1100.0,Whitefield,North Indian,Luxury Premium
Meghana Biriyanis,3.9,400.0,Kalyan Nagar,Andhra,Mid-Range
Meghana Biryani,2.3,800.0,Bellandur,North Indian,Luxury Premium
Meghana Foods,4.2,750.0,Indiranagar,Biryani,Luxury Premium
Meghana Foods Grand,4.2,600.0,Bellandur,Biryani,Luxury Premium
Meghana Grand,3.5,800.0,Brookefield,Biryani,Luxury Premium
Mehfil Family Restaurant,3.0,750.0,Malleshwaram,North Indian,Luxury Premium
Melange - Hotel Ekaa,3.2,900.0,Electronic City,North Indian,Luxury Premium
Melange - Radisson Blu,4.5,2700.0,Marathahalli,North Indian,Luxury Premium
Mel'S Korner,3.7,500.0,Lavelle Road,Fast Food,Luxury Premium
Melt,4.0,1000.0,"Byresandra,Tavarekere,Madiwala",Continental,Luxury Premium
Melt - Eden Park,4.0,1000.0,Bannerghatta Road,North Indian,Luxury Premium
Melting Melodies,2.8,300.0,Banashankari,Bakery,Budget-Friendly
Melting Pot At Woodrose,3.7,800.0,Bannerghatta Road,North Indian,Luxury Premium
Melting Spot,4.0,600.0,Indiranagar,Cafe,Luxury Premium
Memories Of China - Taj Mg Road Bengaluru,4.3,3000.0,Brigade Road,Chinese,Luxury Premium
Meraki Patisserie,3.3,350.0,"Byresandra,Tavarekere,Madiwala",Bakery,Mid-Range
Meridian South - A Pure Vegetarian Restaurant,2.8,600.0,Electronic City,North Indian,Luxury Premium
Mesa Deli - Svenska Design Hotel,3.2,600.0,Electronic City,North Indian,Luxury Premium
Mesa Lounge Bar - Svenska Design Hotel,3.5,1500.0,Electronic City,North Indian,Luxury Premium
Messy Bowl,3.5,500.0,Jayanagar,Fast Food,Luxury Premium
Messy Eats,3.9,500.0,Malleshwaram,Bakery,Luxury Premium
Messy'S,3.8,400.0,Electronic City,Fast Food,Mid-Range
Metrolicious,3.5,400.0,Whitefield,North Indian,Mid-Range
Mexican Burrito,4.0,450.0,New Bel Road,Mexican,Luxury Premium
Mexican Taste,3.3,200.0,Malleshwaram,Fast Food,Budget-Friendly
Mezban Family Restaurant,3.5,300.0,Basavanagudi,Chinese,Budget-Friendly
Mg'S Fine Dining & Bar - Springs Hotel & Spa,3.8,800.0,Basavanagudi,North Indian,Luxury Premium
Mid Night Hunting,3.7,300.0,"Byresandra,Tavarekere,Madiwala",Fast Food,Budget-Friendly
Midas Touch,3.2,300.0,Brookefield,Bakery,Budget-Friendly
Mid-Night Crunch,3.6,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Midnight Eats,3.0,500.0,Brigade Road,North Indian,Luxury Premium
Midnight Express,2.8,650.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Midnight Food Point,2.7,500.0,Kalyan Nagar,North Indian,Luxury Premium
Midnight Hunger Project,3.2,300.0,New Bel Road,North Indian,Budget-Friendly
Midnight Hunger Solutions 24/7,2.1,500.0,Brigade Road,North Indian,Luxury Premium
Midnight Mania,3.8,700.0,Brookefield,Pizza,Luxury Premium
Midnight Pizza Slurpp,3.7,700.0,Koramangala 4Th Block,Italian,Luxury Premium
Midnight Restro,3.4,500.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Midnight Special,3.7,500.0,Koramangala 5Th Block,North Indian,Luxury Premium
Mighty Paws,4.0,500.0,Bellandur,Cafe,Luxury Premium
Mighty Small,4.1,1200.0,Indiranagar,Continental,Luxury Premium
Mikusu - Conrad Bengaluru,4.1,3000.0,Brigade Road,Japanese,Luxury Premium
Milano Ice Cream,4.5,400.0,Basavanagudi,Ice Cream,Mid-Range
Milk N Shakes,3.7,300.0,Brigade Road,Beverages,Budget-Friendly
Milkshake Kulture,3.5,300.0,Electronic City,Beverages,Budget-Friendly
Milkyway Ice Creams,3.7,300.0,Bellandur,Ice Cream,Budget-Friendly
Milkyway Ice Creams & Fast Food,2.8,200.0,Brookefield,Fast Food,Budget-Friendly
Millennium Plaza,3.4,700.0,Electronic City,North Indian,Luxury Premium
Millers 46,4.4,1100.0,Church Street,American,Luxury Premium
Millet Mama,3.9,200.0,Banashankari,South Indian,Budget-Friendly
Mimansa @ Foxtrot,4.4,1000.0,Hsr,Cafe,Luxury Premium
Min Mini Punjabi Dhaba,3.9,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Mini Adiga'S,2.8,250.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Mini Fast Food,3.1,150.0,Frazer Town,Fast Food,Budget-Friendly
Mini Forest,3.3,500.0,Bannerghatta Road,Fast Food,Luxury Premium
Mini Punjabi Dhaba,4.2,350.0,Banashankari,North Indian,Mid-Range
Mini Wok,2.8,200.0,Indiranagar,Chinese,Budget-Friendly
Minimelts,3.9,200.0,Lavelle Road,Ice Cream,Budget-Friendly
Ministry Of Food - Hilton Bangalore Embassy Golflinks,4.2,3000.0,Koramangala 4Th Block,North Indian,Luxury Premium
Mint And Mustard,4.0,750.0,Banashankari,North Indian,Luxury Premium
Mint Masala,2.8,1000.0,Church Street,North Indian,Luxury Premium
Mint Spice Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É & Restaurant,3.0,500.0,Bellandur,North Indian,Luxury Premium
Mint Spice Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É & Restaurant,3.0,500.0,Sarjapur Road,North Indian,Luxury Premium
Minuit 12,2.8,350.0,Marathahalli,North Indian,Mid-Range
Minus 4,3.2,300.0,Sarjapur Road,Desserts,Budget-Friendly
Mira'S Ranna-Ghor,3.6,250.0,Sarjapur Road,Bengali,Budget-Friendly
Mirch,3.7,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Mirch Masala,3.4,500.0,Bannerghatta Road,North Indian,Luxury Premium
Mirchi Bites- Spice Heaven,2.7,650.0,Brookefield,Hyderabadi,Luxury Premium
Miro Bar - Miraya Hotel & Residences,3.8,2000.0,Brookefield,North Indian,Luxury Premium
Misal Darbar,3.0,200.0,Indiranagar,Maharashtrian,Budget-Friendly
Mishmash,3.9,1400.0,Bellandur,Mediterranean,Luxury Premium
Mishra Pedha,3.3,300.0,Brigade Road,Mithai,Budget-Friendly
Mishra'S Pedha Big Foods,3.9,200.0,Basavanagudi,Desserts,Budget-Friendly
Miss Momo,3.2,250.0,Basavanagudi,Tibetan,Budget-Friendly
Mist N Creams,3.6,400.0,Whitefield,Ice Cream,Mid-Range
Mistaan Sweets And Chaat,3.3,200.0,Koramangala 4Th Block,Street Food,Budget-Friendly
Misu,4.4,1700.0,Old Airport Road,Asian,Luxury Premium
Mithai Time,3.0,200.0,Brookefield,Mithai,Budget-Friendly
Mitraa Da Pizza,2.8,250.0,Kalyan Nagar,Fast Food,Budget-Friendly
Mitran Da Junction,4.1,600.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Mizo Kitchen,3.8,400.0,"Byresandra,Tavarekere,Madiwala",North Eastern,Mid-Range
Mk Biryani,2.8,250.0,Kalyan Nagar,Biryani,Budget-Friendly
Mk Dabbawala,2.6,400.0,Indiranagar,North Indian,Mid-Range
Mm Bar & Restaurant,3.4,700.0,Brigade Road,South Indian,Luxury Premium
Mockaholic Restro Beer Cafe,3.9,1000.0,Basavanagudi,North Indian,Luxury Premium
Modern Restaurant,3.0,450.0,Bannerghatta Road,North Indian,Luxury Premium
Moghul Durbar Restaurant,4.0,550.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Moghul'S Restaurant,3.0,700.0,Kalyan Nagar,Mughlai,Luxury Premium
Mojo Bites,3.9,250.0,Brookefield,Fast Food,Budget-Friendly
Mojo Pizza - 2X Toppings,4.1,600.0,Kalyan Nagar,Pizza,Luxury Premium
Moksha,3.6,500.0,Jp Nagar,Chinese,Luxury Premium
Mom Made Food,3.4,400.0,Frazer Town,Biryani,Mid-Range
Momma'S Pastries Fine Bakery And Cafe,3.4,500.0,Kalyan Nagar,Bakery,Luxury Premium
Momm'S The Kitchen,3.4,500.0,Electronic City,Andhra,Luxury Premium
Momo Bites,3.0,350.0,Marathahalli,Tibetan,Mid-Range
Momo Blues,2.8,200.0,"Byresandra,Tavarekere,Madiwala",Chinese,Budget-Friendly
Momo Cafe - Courtyard By Marriott,4.1,2000.0,Sarjapur Road,Asian,Luxury Premium
Momo Corner,3.8,150.0,Indiranagar,Fast Food,Budget-Friendly
Momo Hut,4.0,250.0,"Byresandra,Tavarekere,Madiwala",Chinese,Budget-Friendly
Momo Jojo,3.4,300.0,"Byresandra,Tavarekere,Madiwala",Chinese,Budget-Friendly
Momo Junction,3.8,100.0,"Byresandra,Tavarekere,Madiwala",Fast Food,Budget-Friendly
Momo King,2.8,200.0,Bannerghatta Road,Momos,Budget-Friendly
Momo Mania,3.8,300.0,Marathahalli,Momos,Budget-Friendly
Momo Rice Noodles,3.8,400.0,Indiranagar,Chinese,Mid-Range
Momo Shop,4.0,200.0,Malleshwaram,Momos,Budget-Friendly
Momo Time,2.8,600.0,Bannerghatta Road,Momos,Luxury Premium
Momos & Me,2.8,200.0,Brookefield,Chinese,Budget-Friendly
Momos Corner,3.1,250.0,Hsr,Chinese,Budget-Friendly
Momoz,3.9,600.0,"Byresandra,Tavarekere,Madiwala",Chinese,Luxury Premium
Moms Flavor,2.8,400.0,Bannerghatta Road,North Indian,Mid-Range
Mom'S Momos,3.3,300.0,Bannerghatta Road,Chinese,Budget-Friendly
Mom'S Rasoi,3.5,300.0,Malleshwaram,South Indian,Budget-Friendly
Momscurry,2.7,300.0,Indiranagar,North Indian,Budget-Friendly
Monarch,3.5,700.0,Lavelle Road,North Indian,Luxury Premium
Monet'S Bistro,4.5,600.0,Indiranagar,Cafe,Luxury Premium
Mongolian Kitchen,3.8,300.0,Jayanagar,Chinese,Budget-Friendly
Monkey Bar,4.3,1400.0,Indiranagar,American,Luxury Premium
Monsoon,2.8,1000.0,Bellandur,Continental,Luxury Premium
Monsoon - The Park Bangalore,4.1,3000.0,Lavelle Road,Italian,Luxury Premium
Monsoon Express,3.4,1600.0,Brigade Road,Continental,Luxury Premium
Mont Blanc Cafe,3.8,650.0,Bellandur,Cafe,Luxury Premium
Mooch Marod,4.2,400.0,Koramangala 4Th Block,North Indian,Mid-Range
Mood For Food,4.0,800.0,Old Airport Road,North Indian,Luxury Premium
Moolehatti Donne Biryani Mane,3.6,400.0,"Byresandra,Tavarekere,Madiwala",Biryani,Mid-Range
Moonlight Kitchens,3.9,400.0,Indiranagar,North Indian,Mid-Range
Moonlights Kitchens,3.5,400.0,Koramangala 6Th Block,North Indian,Mid-Range
Moradabadi Special Biryani,3.4,250.0,Hsr,Biryani,Budget-Friendly
More Pizza,3.5,500.0,Bannerghatta Road,Italian,Luxury Premium
More Than Chocolates,3.6,200.0,"Byresandra,Tavarekere,Madiwala",Bakery,Budget-Friendly
Moriz Restaurant,2.6,800.0,Bellandur,Arabian,Luxury Premium
Mota Bawarchi,3.5,300.0,Basavanagudi,North Indian,Budget-Friendly
Mother Nature Kulfi,3.6,200.0,"Byresandra,Tavarekere,Madiwala",Desserts,Budget-Friendly
Mother'S Food,3.8,200.0,Marathahalli,North Indian,Budget-Friendly
Mother'S Kitchen,3.7,600.0,Frazer Town,North Indian,Luxury Premium
Mother'S Meal,3.8,200.0,Indiranagar,North Indian,Budget-Friendly
Mother'S Rasoi,3.8,250.0,Bannerghatta Road,North Indian,Budget-Friendly
Mother'S Rasoi Family Restaurant,3.4,200.0,Jp Nagar,North Indian,Budget-Friendly
Mothers Recipe Restaurant,3.1,600.0,Frazer Town,South Indian,Luxury Premium
Mothi Restaurant,3.7,350.0,Whitefield,North Indian,Mid-Range
Moti Mahal Delux,4.0,1000.0,Bellandur,North Indian,Luxury Premium
Motis Kitchen,4.1,350.0,Indiranagar,South Indian,Mid-Range
Moto Store & Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É,4.2,500.0,Indiranagar,Pizza,Luxury Premium
Moto Store & Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É,4.2,500.0,Mg Road,Pizza,Luxury Premium
Moto Store & Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚‚Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É,4.2,500.0,Lavelle Road,Pizza,Luxury Premium
Mou Tushi Family Restaurant,3.7,150.0,Brookefield,Bengali,Budget-Friendly
Mount View Fast Food,3.3,100.0,Lavelle Road,Fast Food,Budget-Friendly
Mountain Spice,3.9,400.0,Brigade Road,Chinese,Mid-Range
Mouthful,3.7,300.0,Rajajinagar,Fast Food,Budget-Friendly
Mouthfull Of Cake,3.9,600.0,Rajajinagar,Desserts,Luxury Premium
Moxa Bistro,3.9,1500.0,Brigade Road,Continental,Luxury Premium
Mr Gola,3.4,100.0,Bannerghatta Road,Desserts,Budget-Friendly
Mr Manchurian,3.6,500.0,Brookefield,Chinese,Luxury Premium
Mr Savji,3.4,350.0,Malleshwaram,South Indian,Mid-Range
Mr. Anbu'G Ambur Biryani,3.2,300.0,Brigade Road,Biryani,Budget-Friendly
Mr. Beans - Home Cafe,4.2,1000.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Mr. Cane,3.5,100.0,Jp Nagar,Juices,Budget-Friendly
Mr. Chef,3.2,500.0,New Bel Road,North Indian,Luxury Premium
Mr. Gola,3.7,100.0,Malleshwaram,Desserts,Budget-Friendly
Mr. Meetharam,3.2,150.0,Bannerghatta Road,Mithai,Budget-Friendly
Mr. Meow'S Hotdogs,3.5,300.0,Koramangala 4Th Block,Fast Food,Budget-Friendly
Mr. Singh Da Dhaba,3.6,300.0,Banashankari,North Indian,Budget-Friendly
Mra,2.8,200.0,Electronic City,Bakery,Budget-Friendly
Mrs Paradise,3.4,650.0,Basavanagudi,South Indian,Luxury Premium
Mtr 1924,4.2,300.0,Brigade Road,South Indian,Budget-Friendly
Mubarak Hotel,3.5,150.0,Kalyan Nagar,North Indian,Budget-Friendly
Mubeena Shariff Chocolatier,3.6,500.0,Whitefield,Desserts,Luxury Premium
Mudde Madappa Mess,4.1,150.0,Lavelle Road,South Indian,Budget-Friendly
Muddhe Bytes,3.4,300.0,Bannerghatta Road,South Indian,Budget-Friendly
Mudpipe Cafe,3.9,800.0,Bannerghatta Road,Cafe,Luxury Premium
Mug N Bean,3.9,400.0,Basavanagudi,Cafe,Mid-Range
Mugful Of Stories,4.6,300.0,Kalyan Nagar,Desserts,Budget-Friendly
Mughal Restaurant,3.2,600.0,Whitefield,Mughlai,Luxury Premium
Mughal Samraj,3.2,600.0,Bellandur,Fast Food,Luxury Premium
Mughal Treat,3.6,700.0,Bellandur,Mughlai,Luxury Premium
Mughals Restaurant,3.1,550.0,Lavelle Road,Mughlai,Luxury Premium
Mughlai Azam,4.0,1400.0,New Bel Road,Mughlai,Luxury Premium
Mugs N Burgers,4.0,600.0,Brookefield,Cafe,Luxury Premium
Mukati Kitchen,3.7,500.0,Indiranagar,North Indian,Luxury Premium
Mulabagilu Dosa,3.6,100.0,Banashankari,South Indian,Budget-Friendly
Multi Cakes,3.0,200.0,Bannerghatta Road,Bakery,Budget-Friendly
Multi Ruchish,2.8,250.0,Kalyan Nagar,North Indian,Budget-Friendly
Multi Snacky Hub,2.8,200.0,Banashankari,Fast Food,Budget-Friendly
Mum?S Kitchen,3.5,200.0,Brookefield,North Indian,Budget-Friendly
Mumƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚‚Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚’S Kitchen,3.5,200.0,Marathahalli,North Indian,Budget-Friendly
Mumbai Badam Milk & Lassi Center,3.6,100.0,Banashankari,Beverages,Budget-Friendly
Mumbai Bistro,4.2,500.0,Malleshwaram,Cafe,Luxury Premium
Mumbai Kulfi,3.7,100.0,Electronic City,Ice Cream,Budget-Friendly
Mumbai Spice,3.7,400.0,Malleshwaram,North Indian,Mid-Range
Mumbai Tiffin,4.4,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Mumbai Xpress,2.8,350.0,Sarjapur Road,Fast Food,Mid-Range
Mummy Dhaba,3.2,300.0,Brigade Road,North Indian,Budget-Friendly
Mummy'S Kitchen,3.7,300.0,Indiranagar,North Indian,Budget-Friendly
Munch Box,2.8,400.0,New Bel Road,North Indian,Mid-Range
Munchies,3.9,250.0,Brigade Road,Fast Food,Budget-Friendly
Murali Military Hotel,2.8,300.0,"Byresandra,Tavarekere,Madiwala",Biryani,Budget-Friendly
Murli,3.9,500.0,Bellandur,North Indian,Luxury Premium
Murphy'S Brewhouse - The Paul Bangalore,4.3,1700.0,Indiranagar,Continental,Luxury Premium
Murugan Mess,3.3,150.0,Brigade Road,South Indian,Budget-Friendly
Muscat Restaurant,3.0,400.0,Bellandur,North Indian,Mid-Range
Mustard Cafe,4.1,800.0,"Byresandra,Tavarekere,Madiwala",Cafe,Luxury Premium
Mustard Food Court,3.6,500.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Muthashy'S,4.2,400.0,"Byresandra,Tavarekere,Madiwala",Kerala,Mid-Range
Muziris,3.6,250.0,Hsr,Kerala,Budget-Friendly
My Cafe,3.6,350.0,Electronic City,North Indian,Mid-Range
My China,3.0,600.0,Kalyan Nagar,Chinese,Luxury Premium
My Dabeli & My Pizza,3.4,400.0,"Byresandra,Tavarekere,Madiwala",Pizza,Mid-Range
My Little China,3.7,300.0,Kalyan Nagar,Chinese,Budget-Friendly
My Place - Gokulam Grand Hotel & Spa,4.2,1800.0,New Bel Road,Continental,Luxury Premium
My Space - Welcomehotel Bengaluru,3.9,2000.0,Brigade Road,Finger Food,Luxury Premium
My Tea House,2.8,500.0,Banashankari,Continental,Luxury Premium
Mylari Biryani Family Restaurant,3.7,400.0,Banashankari,Biryani,Mid-Range
Mynt - The Taj West End,4.1,2500.0,Church Street,Italian,Luxury Premium
Mynutrikitchen,3.6,300.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
Mypotli,3.7,100.0,Jp Nagar,North Indian,Budget-Friendly
Myrasoiya.Com,3.4,350.0,Bellandur,North Indian,Mid-Range
Mysore Carnival Restaurant,3.8,350.0,"Byresandra,Tavarekere,Madiwala",Chinese,Mid-Range
Mysore Hanumanthu Palav,3.9,500.0,Malleshwaram,South Indian,Luxury Premium
Mystery House,3.4,300.0,Kalyan Nagar,Fast Food,Budget-Friendly
Mystique Palate,4.1,300.0,Banashankari,Chinese,Budget-Friendly
Mysuru Coffee Thindi,4.1,200.0,Basavanagudi,South Indian,Budget-Friendly
Myu Bar At Gilly'S Redefined,4.4,1200.0,"Byresandra,Tavarekere,Madiwala",American,Luxury Premium
Naachiyar'S,3.9,600.0,Brigade Road,Chettinad,Luxury Premium
Naadan Bhakshanasaala,3.3,250.0,Electronic City,Kerala,Budget-Friendly
Naani'Z Biryani,3.3,300.0,Hsr,Biryani,Budget-Friendly
Naati Biriyani,3.1,300.0,"Byresandra,Tavarekere,Madiwala",Kebab,Budget-Friendly
Naati Manae,3.9,700.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Nadan Thattukada,3.7,200.0,Jayanagar,Kerala,Budget-Friendly
Nadeem'S Kitchen,2.9,500.0,Kalyan Nagar,Biryani,Luxury Premium
Nadella'S Kitchen,3.2,300.0,Bannerghatta Road,North Indian,Budget-Friendly
Nagappa Naidu Hotel,2.8,200.0,Hsr,South Indian,Budget-Friendly
Nagarjuna,4.2,800.0,Marathahalli,Andhra,Luxury Premium
Nagarjuna Chimney,4.0,600.0,Basavanagudi,Andhra,Luxury Premium
Nagas,3.3,500.0,Malleshwaram,Andhra,Luxury Premium
Naga'S,2.7,500.0,Bannerghatta Road,Hyderabadi,Luxury Premium
Nagashree'S,2.9,550.0,Brigade Road,South Indian,Luxury Premium
Nagli Veg & Non Veg,2.8,150.0,Indiranagar,North Indian,Budget-Friendly
Naidoo'S Donne Biryani,3.5,300.0,Frazer Town,South Indian,Budget-Friendly
Naidu Military Hotel,2.7,600.0,Basavanagudi,South Indian,Luxury Premium
Naina Nand Food Express,3.3,300.0,Kalyan Nagar,North Indian,Budget-Friendly
Nainital North Indian Restaurant,3.5,400.0,Electronic City,North Indian,Mid-Range
Nakkala'S Food Hunt,2.4,600.0,Marathahalli,North Indian,Luxury Premium
Nakkshatra,3.9,1100.0,Indiranagar,North Indian,Luxury Premium
Nalaas Aapakadai,2.7,400.0,Whitefield,South Indian,Mid-Range
Nalamaharaja,3.3,500.0,New Bel Road,North Indian,Luxury Premium
Nalukettu,3.5,450.0,Kalyan Nagar,Kerala,Luxury Premium
Namak,3.1,650.0,Kalyan Nagar,North Indian,Luxury Premium
Namak Swad Anusaar,3.8,400.0,Brookefield,North Indian,Mid-Range
Namakh Store And Cafe,3.7,400.0,Malleshwaram,Cafe,Mid-Range
Namana Garden,2.6,400.0,Bannerghatta Road,North Indian,Mid-Range
Namana Restaurant,3.7,300.0,Rajajinagar,North Indian,Budget-Friendly
Namaste,2.8,70.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Namaste Kitchen,3.8,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Namdhari'S Salad Bar,3.9,300.0,Indiranagar,Juices,Budget-Friendly
Nami'S Global Kitchen,3.3,240.0,Indiranagar,Italian,Budget-Friendly
Namma Atithi,2.8,200.0,Electronic City,North Indian,Budget-Friendly
Namma Banashankari Donne Biryani,4.0,250.0,Basavanagudi,Biryani,Budget-Friendly
Namma Biriyani,3.7,250.0,"Byresandra,Tavarekere,Madiwala",Biryani,Budget-Friendly
Namma Biryani,3.6,250.0,Banashankari,Biryani,Budget-Friendly
Namma Brahmin'S Idli,3.6,100.0,Banashankari,South Indian,Budget-Friendly
Namma Halli Jonne Biryani,3.3,300.0,Bannerghatta Road,Biryani,Budget-Friendly
Namma Kadai,3.4,150.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Namma Kudla,3.9,400.0,Bannerghatta Road,Mangalorean,Mid-Range
Namma Madurai,3.0,200.0,Marathahalli,South Indian,Budget-Friendly
Namms Cafe,3.1,300.0,"Byresandra,Tavarekere,Madiwala",Biryani,Budget-Friendly
Nammura Baduta,3.3,350.0,Malleshwaram,South Indian,Mid-Range
Nammura Donne Biriyani,3.2,300.0,Bannerghatta Road,Biryani,Budget-Friendly
Nammura Upachara,3.6,300.0,Malleshwaram,Chinese,Budget-Friendly
Nammura Upahara,3.8,100.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Nandana Mess,3.3,350.0,Sarjapur Road,South Indian,Mid-Range
Nandanam Family Restaurant,3.3,400.0,Electronic City,Kerala,Mid-Range
Nandanam Restaurant,3.8,400.0,Electronic City,North Indian,Mid-Range
Nandanavanam,3.3,300.0,Old Airport Road,South Indian,Budget-Friendly
Nanda'S,2.9,450.0,Bellandur,North Indian,Luxury Premium
Nandhana Palace,4.2,800.0,New Bel Road,Andhra,Luxury Premium
Nandhanam Restaurant,3.7,300.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Nandhanus Rasoi,3.4,200.0,Bannerghatta Road,Chinese,Budget-Friendly
Nandhanu'S Rasoi,3.0,400.0,Banashankari,Chinese,Mid-Range
Nandhi Andhra Style Family Restaurant,3.4,400.0,Basavanagudi,Seafood,Mid-Range
Nandhini,3.7,600.0,Kammanahalli,Andhra,Luxury Premium
Nandhini Deluxe,2.6,600.0,Banashankari,North Indian,Luxury Premium
Nandhini Paradise,3.7,600.0,Indiranagar,North Indian,Luxury Premium
Nandi Bidadi Thatte Idli,2.9,100.0,Bannerghatta Road,South Indian,Budget-Friendly
Nandi Chats And Juice,3.6,150.0,Banashankari,Street Food,Budget-Friendly
Nandi Mess - Feel Like Mom'S,3.6,250.0,Brookefield,South Indian,Budget-Friendly
Nandighosha,3.6,400.0,Brookefield,Bengali,Mid-Range
Nandini Andhra Style Mess,3.4,350.0,Old Airport Road,North Indian,Mid-Range
Nandini Deluxe,2.8,600.0,Brookefield,North Indian,Luxury Premium
Nandini Dosa Camp,2.8,100.0,Electronic City,South Indian,Budget-Friendly
Nandini Swadista Loka,3.3,300.0,Malleshwaram,North Indian,Budget-Friendly
Nando'S,4.1,1200.0,Malleshwaram,Portuguese,Luxury Premium
Nanna Munna,3.4,200.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
Nanna Munna Paratha House,3.5,300.0,Koramangala 5Th Block,North Indian,Budget-Friendly
Napoli Italian Bistro,4.1,1200.0,Bellandur,Italian,Luxury Premium
Narayana Veg Treat,3.1,350.0,Electronic City,North Indian,Mid-Range
Narmadha'S Hyderabad Biriyani,3.9,550.0,"Byresandra,Tavarekere,Madiwala",Biryani,Luxury Premium
Nashta Pani -The Gujarat'S Special,3.4,200.0,Brookefield,Gujarati,Budget-Friendly
Nasi And Mee,4.4,1000.0,Whitefield,Malaysian,Luxury Premium
Nati Biriyani Mane,3.2,200.0,Jayanagar,Biryani,Budget-Friendly
Nati Palace,3.5,200.0,Bannerghatta Road,South Indian,Budget-Friendly
Natuna Seafood House,4.1,450.0,Koramangala 4Th Block,Seafood,Luxury Premium
Natural Ice Cream,4.1,150.0,Frazer Town,Ice Cream,Budget-Friendly
Natural Mumbai Kulfi,3.5,130.0,Bannerghatta Road,Ice Cream,Budget-Friendly
Natural Veg,3.1,250.0,New Bel Road,North Indian,Budget-Friendly
Nature'S Caff,3.9,400.0,Malleshwaram,Continental,Mid-Range
Nature'S Nectar,3.7,600.0,Hsr,Continental,Luxury Premium
Nature'S Restaurant,3.3,300.0,Old Airport Road,Chinese,Budget-Friendly
Navab'S,3.6,600.0,Koramangala 4Th Block,Mughlai,Luxury Premium
Navami,3.5,600.0,Basavanagudi,Andhra,Luxury Premium
